,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition,beta
210,211,at_Ti-24Nb-2Zr,Ti74.00Nb24.00Zr2.00,74,10.1016/j.msea.2011.12.103,li2012,0,0,1,,30.0,59.0,,249.0,,487.0,,23.0,,,,10.49,meta,Ti-beta,,,ST-WQ,"ST at 1073K for 3600s followed by quenching into water. Average grain size approx. 30 um (Fig. 1). YS, UTS and elongation obtained from Fig. 11. SIMT (and possibly superelasticity) occurs in this alloy. ",Ti74 Nb24 Zr2,1
211,212,at_Ti-24Nb-4Zr,Ti72.00Nb24.00Zr4.00,74,10.1016/j.msea.2011.12.103,li2012,0,0,1,,30.0,60.0,,417.0,,542.0,,22.0,,,,10.33,meta,Ti-beta,,,ST-WQ,"ST at 1073K for 3600s followed by quenching into water. Average grain size approx. 30 um (Fig. 1). YS, UTS and elongation obtained from Fig. 11. SIMT (and possibly superelasticity) occurs in this alloy. ",Ti72 Nb24 Zr4,1
212,213,at_Ti-23Nb-2Zr-0.7Ta,Ti74.30Nb23.00Zr2.00Ta0.70,75,10.1016/j.actamat.2011.06.006,besse2011,1,0,1,,50.0,55.0,,280.0,,400.0,,33.0,,,,10.43,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 850 deg C for 0.5 h in the beta-phase field and quenched in water. Average grain size roughly estimated from Fig. 1.,Ti74.3 Nb23 Zr2 Ta0.7,1
213,214,at_Ti-23Nb-2Zr-0.7Ta-1.2O,Ti74.30Nb23.00Zr2.00Ta0.70,75,10.1016/j.actamat.2011.06.006,besse2011,1,0,1,3219.0,30.0,60.0,,830.0,,880.0,,14.0,,,,10.43,meta,Ti-beta,,,ST-WQ,ST at 850 deg C for 0.5 h in the beta-phase field and quenched in water. Average grain size roughly estimated from Fig. 1.,Ti74.3 Nb23 Zr2 Ta0.7,1
214,215,at_Ti-12Ta-9Nb-6Zr-3V,Ti70.00Ta12.00Nb9.00Zr6.00V3.00,76,10.1126/science.1081957,saito2003,1,1,1,3500.0,,71.2,,849.0,,,,19.1,,,,11.54,meta,Ti-beta,,,ST-WQ,Data extracted from Figure 1a,Ti70 Ta12 Nb9 Zr6 V3,1
215,216,Ti-2Mo-2Al-2Fe,Ti89.17Mo4.81Al4.27Fe1.75,77,10.1016/j.msea.2015.08.028,li2015,1,1,0,540.0,75.0,,,670.0,,,,,,300.0,,12.74,meta,Ti-beta,Ti-omega,,ST-WQ,"ST at 850 deg C for 1 h. Grain size from the text (ref. Fig. 2). Cylindrical tensile specimens 6 x 30 mm, 5.10E-4 (s-1) strain rate. Stress-strain curves not reported, thus, it is impossible to infer Young or UTS.",Ti89.17 Mo4.81 Al4.27 Fe1.75,1
216,217,Ti-6Cr-3Sn,Ti93.11Cr5.65Sn1.24,78,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.0,,,294.0,,585.0,,41.0,,260.0,4.0,9.6,near,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti93.11 Cr5.65 Sn1.24,1
217,218,Ti-7Cr-3Sn,Ti92.16Cr6.60Sn1.24,78,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.0,,,390.0,,639.0,,16.0,,270.0,3.0,11.2,meta,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti92.16 Cr6.6 Sn1.24,1
218,219,Ti-8Cr-3Sn,Ti91.21Cr7.55Sn1.24,78,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.0,,,439.0,,620.0,,11.0,,272.0,5.0,12.8,meta,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti91.21 Cr7.55 Sn1.24,1
219,220,Ti-9Cr-3Sn,Ti90.26Cr8.50Sn1.24,78,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.0,,,420.0,,622.0,,13.0,,275.0,9.0,14.4,meta,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti90.26 Cr8.5 Sn1.24,1
220,221,Ti-7Mo-3Cr,Ti93.50Mo3.63Cr2.87,79,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,,,,563.0,,887.0,,46.0,,,,11.8,meta,Ti-beta,Ti-omega,,ST-WQ,Mechanical properties roughly estimated from Fig. 3,Ti93.5 Mo3.63 Cr2.87,1
221,222,Ti-7Mo-3Cr,Ti93.50Mo3.63Cr2.87,79,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,,,,961.0,,961.0,,0.0,,,,11.8,meta,Ti-beta,Ti-omega,,ST-AC,Mechanical properties roughly estimated from Fig. 3,Ti93.5 Mo3.63 Cr2.87,1
222,223,Ti-7Mo-3Cr-1Fe,Ti92.68Mo3.60Cr2.84Fe0.88,79,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,50.0,,,648.0,,924.0,,25.0,,,,14.55,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size roughly estimated from Fig. S1.,Ti92.68 Mo3.6 Cr2.84 Fe0.88,1
223,224,Ti-7Mo-3Cr-1Fe,Ti92.68Mo3.60Cr2.84Fe0.88,79,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,50.0,,,1210.0,,1245.0,,15.0,,,,14.55,meta,Ti-beta,Ti-omega,,ST-AC,Average grain size roughly estimated from Fig. S1.,Ti92.68 Mo3.6 Cr2.84 Fe0.88,1
224,225,Ti-34Nb-8Zr-1Fe,Ti71.93Nb22.10Zr5.00Fe0.97,80,10.3390/ma14133467,nocivin2021,1,1,0,1600.0,87.0,49.0,2.0,552.0,11.0,760.0,13.0,21.0,,,,12.19,meta,Ti-beta,,,ST-WQ,Data from the homogenized sample - ST at 950 deg C for 20 min then WQ. Hardness not reported. Grain size roughly estimated from Fig. 4,Ti71.93 Nb22.1 Zr5 Fe0.97,1
225,226,Ti-12Mo,Ti93.61Mo6.37Fe0.02,81,10.1080/21663831.2017.1350211,sun2017,1,1,0,600.0,39.0,84.0,3.0,480.0,,974.0,,40.0,,,,12.06,meta,Ti-beta,Ti-omega,,ST-WQ,Elastic modulus from the tensile tests (rectangular samples 4 x 0.5 mm). UTS estimated from Fig. 3. Average grain size roughly estimated from Fig. 4. Hardness not reported. ,Ti93.61 Mo6.37 Fe0.02,1
226,227,Ti-37Ta-26Hf-13Zr,Ti50.44Ta20.57Hf14.65Zr14.34,82,10.1038/srep37901,lin2016,0,0,0,,355.0,79.0,3.0,1001.0,108.0,1001.0,108.0,1.6,,381.0,8.0,8.14,near,Ti-beta,Ti-omega,,As-cast,Phases inferred from the analysis of  alloy id-232. Deformation from Figure S3.,Ti50.44 Ta20.57 Hf14.65 Zr14.34,1
227,228,Ti-40Ta-22Hf-12Zr,Ti53.76Ta21.63Hf12.06Zr12.55,82,10.1038/srep37901,lin2016,0,0,0,,335.0,72.0,2.0,1132.0,29.0,1160.0,28.0,2.8,,375.0,6.0,8.8,near,Ti-beta,Ti-omega,,As-cast,Phases inferred from the analysis of  alloy id-232. Deformation from Figure S3.,Ti53.76 Ta21.63 Hf12.06 Zr12.55,1
228,229,Ti-45Ta-18Hf-10Zr,Ti54.64Ta24.45Hf10.14Zr10.78,82,10.1038/srep37901,lin2016,0,1,0,,341.0,77.0,3.0,1114.0,61.0,1173.0,45.0,2.4,,360.0,6.0,9.9,near,Ti-beta,Ti-omega,,As-cast,Deformation from Figure S3.,Ti54.64 Ta24.45 Hf10.14 Zr10.78,1
229,230,Ti-10V-2Fe-3Al,Ti84.07V9.08Al5.25Fe1.61,83,10.1179/174328408X385773,neelakantan2009,1,0,1,1100.0,300.0,,,1050.0,,1300.0,,-33.0,,,,9.09,near,Ti-beta,Ti-alpha-p,Ti-alpha-dp,ST-AC,ST at 900 deg C for 60 min then He gas quenched at 10 deg C/min (Sample A). YS = second yield from Fig. 4. Sample evaluated in compression,Ti84.07 V9.08 Al5.25 Fe1.61,1
230,231,Ti-9Mo-6W,Ti93.35Mo4.93W1.72,84,10.1038/s41598-018-25899-3,gao2018b,0,1,0,,3.5,,,692.0,,1115.0,,33.5,,,,11.64,meta,Ti-beta,Ti-omega,,ST-WQ,"Sample 820-5M (ST at 820 deg C for 5 min, WQ). Grain size assumed to be an average between 1-6 um. Tensile samples with a gauge dimension of 3 mm x 12.5 mm x 1.5 mm",Ti93.35 Mo4.93 W1.72,1
231,232,Ti-12Mo,Ti93.63Mo6.37,85,10.1038/s41598-018-37865-0,mantri2019,0,1,0,,,,,400.0,,550.0,,35.0,,,,12.0,meta,Ti-beta,Ti-omega,,ST-WQ,"ST at 900 deg C for 30 min then WQ. Grain size not reported.Dog-bone shaped tensile specimens of gage length ~5 mm, width ~1 mm and thickness ~0.8 mm were used for the mechanical testing,",Ti93.63 Mo6.37,1
232,233,Ti-5Cu,Ti96.19Cu3.81,86,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,115.0,,791.0,32.0,890.0,13.0,1.4,0.2,318.0,21.0,0.0,rich,Ti-alpha,Ti2Cu,,As-cast,Copper mold rotating arm. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti96.19 Cu3.81,0
233,234,Ti-5Cu,Ti96.19Cu3.81,86,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,120.0,,592.0,8.0,648.0,45.0,3.8,2.6,239.0,21.0,0.0,rich,Ti-alpha,Ti2Cu,,ST-FC,ST at 900 deg C for 2 h then FC. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti96.19 Cu3.81,0
234,235,Ti-7Cu,Ti94.56Cu5.44,86,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,118.0,,863.0,57.0,895.0,68.0,0.1,0.1,333.0,12.0,0.0,rich,Ti-alpha,Ti2Cu,,As-cast,Copper mold rotating arm. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti94.56 Cu5.44,0
235,236,Ti-7Cu,Ti94.56Cu5.44,86,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,112.0,,522.0,46.0,660.0,52.0,3.5,0.8,224.0,16.0,0.0,rich,Ti-alpha,Ti2Cu,,ST-FC,ST at 900 deg C for 2 h then FC. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti94.56 Cu5.44,0
236,237,Ti-15Cu,Ti88.27Cu11.73,86,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,120.0,,666.0,97.0,666.0,97.0,0.0,0.0,382.0,29.0,0.0,rich,Ti-alpha,Ti2Cu,,As-cast,Copper mold rotating arm. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti88.27 Cu11.73,0
237,238,Ti-15Cu,Ti88.27Cu11.73,86,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,121.0,,541.0,57.0,676.0,39.0,2.9,0.4,224.0,9.0,0.0,rich,Ti-alpha,Ti2Cu,,ST-FC,ST at 900 deg C for 2 h then FC. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti88.27 Cu11.73,0
238,239,Ti-15Mo,Ti91.70Mo8.30,87,10.1016/j.msea.2009.12.050,min2010,1,1,0,1050.0,130.0,,,439.0,,714.0,,49.0,,,,15.36,meta,Ti-beta,Ti-omega,,ST-WQ,St at 900 deg C for 1 g then WQ. Oxygen content from Table 1. ,Ti91.7 Mo8.3,1
239,240,Ti-15Mo-1Fe,Ti91.63Mo8.30Fe1.07,87,10.1016/j.msea.2009.12.050,min2010,1,1,0,920.0,130.0,,,837.0,,837.0,,19.0,,,,18.5,meta,Ti-beta,Ti-omega,,ST-WQ,St at 900 deg C for 1 g then WQ. Oxygen content from Table 1. ,Ti91.63 Mo8.3 Fe1.07,1
240,241,Ti-6Cr-5Mo-5V-4Al,Ti80.79Cr5.25Mo2.35V4.52Al6.98Fe0.07Si0.005,88,10.1016/j.jallcom.2012.09.140,li2013,1,0,0,890.0,50.0,,,873.0,,875.0,,22.0,,,,13.36,meta,Ti-beta,,,ST-AC,ST at 800 deg C for 30 min and AC.,Ti80.79 Cr5.25 Mo2.35 V4.52 Al6.98 Fe0.07 Si0.005,1
241,242,Ti-30Nb-13Ta-5Zr,Ti70.45Nb21.42Ta4.69Zr3.44,89,10.1016/j.jmbbm.2012.01.011,narita2012,1,1,0,780.0,15.0,61.0,2.0,521.0,3.0,554.0,3.0,27.0,2.0,175.0,2.0,11.4,meta,Ti-beta,,,ST-WQ,"As-ST sample, ST at 740 deg C for 1 h then WQ. Grain size reported in section 3.1. Hardness from Fig. 7. Young modulus from Fig. 8. Other mechanical properties from Fig. 9. ",Ti70.45 Nb21.42 Ta4.69 Zr3.44,1
242,243,Ti-24Nb-2Zr-1Sn,Ti83.84Nb14.04Zr1.51Sn0.61,90,10.1016/j.jmbbm.2013.07.007,kent2013,0,0,0,,275.0,75.0,4.0,499.0,5.0,646.0,5.0,2.0,,,,6.61,near,Ti-alpha-dp,Ti-beta,,ST-WQ,Alloy A. Mechanical properties estimated based on Fig. 5. Strength errors assumed to be near 5 MPa. Elongation from the hot rolled specimens.,Ti83.84 Nb14.04 Zr1.51 Sn0.61,0
243,244,Ti-24Nb-3Zr-2Sn-3Mo,Ti80.64Nb14.93Zr1.74Sn0.91Mo1.78,90,10.1016/j.jmbbm.2013.07.007,kent2013,0,0,0,,175.0,72.0,3.0,534.0,5.0,673.0,5.0,5.0,,,,9.84,near,Ti-beta,,,ST-WQ,Alloy B. Mechanical properties estimated based on Fig. 5. Strength errors assumed to be near 5 MPa. Elongation from the hot rolled specimens.,Ti80.64 Nb14.93 Zr1.74 Sn0.91 Mo1.78,1
244,245,Ti-25Nb-3Zr-2Sn-5Mo,Ti78.40Nb15.33Zr1.97Sn0.98Mo3.32,90,10.1016/j.jmbbm.2013.07.007,kent2013,0,0,0,,175.0,68.0,3.0,491.0,5.0,618.0,5.0,7.0,,,,12.39,meta,Ti-beta,,,ST-WQ,Alloy C. Mechanical properties estimated based on Fig. 5. Strength errors assumed to be near 5 MPa. Elongation from the hot rolled specimens.,Ti78.4 Nb15.33 Zr1.97 Sn0.98 Mo3.32,1
245,246,Ti-10Nb-3Fe,Ti91.85Nb5.44Fe2.71,91,10.1016/j.jmbbm.2015.02.030,chaves2015,1,1,0,1520.0,,77.0,6.0,,,,,,,479.0,4.0,11.49,meta,Ti-beta,Ti-omega,,As-cast,Dynamic modulus characterization. ,Ti91.85 Nb5.44 Fe2.71,1
246,247,Ti-15Nb-3Fe,Ti88.84Nb8.37Fe2.79,91,10.1016/j.jmbbm.2015.02.030,chaves2015,1,0,0,1960.0,,71.0,4.0,,,,,,,411.0,5.0,12.91,meta,Ti-beta,Ti-omega,,As-cast,Dynamic modulus characterization. Omega-phase presence inferred from other compositions of the same study. ,Ti88.84 Nb8.37 Fe2.79,1
247,248,Ti-20Nb-3Fe,Ti85.67Nb11.47Fe2.86,91,10.1016/j.jmbbm.2015.02.030,chaves2015,1,0,0,1600.0,,67.0,5.0,,,,,,,326.0,3.0,14.3,meta,Ti-beta,Ti-omega,,As-cast,Dynamic modulus characterization. Omega-phase presence inferred from other compositions of the same study. ,Ti85.67 Nb11.47 Fe2.86,1
