,w,IR
126,211.82379164040856,6.707612220617375e+26
127,213.49169551159284,6.589261405471817e+26
128,215.15959938277715,4.410174799599732e+26
129,216.8275032539615,6.944467778968612e+26
130,218.4954071251458,8.899959232682609e+26
131,220.16331099633015,4.326908362266787e+26
132,221.83121486751446,4.341174020271478e+26
133,223.49911873869874,7.149639592437991e+26
134,225.1670226098831,8.746727826517207e+26
135,226.8349264810674,4.8784611355832726e+26
136,228.50283035225175,4.893803613163745e+26
137,230.17073422343606,4.624487857015173e+26
138,231.83863809462036,9.338579121853767e+26
139,233.5065419658047,5.940251813182214e+26
140,235.174445836989,7.503347208880395e+26
141,236.84234970817332,5.7885173764338625e+26
142,238.51025357935765,1.051515584068549e+27
143,240.17815745054196,6.651100718632216e+26
144,241.8460613217263,7.096906619488675e+26
145,243.5139651929106,4.61702136894464e+26
146,245.1818690640949,6.662397378169928e+26
147,246.84977293527925,6.970615219520846e+26
148,248.51767680646356,8.883175096323077e+26
149,250.1855806776479,9.806437050510768e+26
150,251.8534845488322,8.346318021761443e+26
151,253.5213884200165,8.162541995335039e+26
152,255.18929229120084,9.864304026984395e+26
153,256.85719616238515,4.770364538624422e+26
154,258.52510003356946,1.0656804941360103e+27
155,260.19300390475377,5.372807966803662e+26
156,261.8609077759381,1.0140279473222944e+27
157,263.52881164712244,7.590059266214209e+26
158,265.19671551830675,8.295162518955858e+26
159,266.86461938949105,4.759132141233419e+26
160,268.53252326067536,7.705931849137541e+26
161,270.20042713185967,7.564937835447278e+26
162,271.86833100304403,4.8452807043562266e+26
163,273.53623487422834,6.317075625540449e+26
164,275.20413874541265,9.868356409016582e+26
165,276.87204261659696,5.888281834202608e+26
166,278.53994648778126,8.037486274929826e+26
167,280.20785035896563,5.1416089564800536e+26
168,281.87575423014994,1.0152604633834269e+27
169,283.54365810133424,6.652053174902833e+26
170,285.2115619725186,1.1261803285119092e+27
171,286.87946584370286,1.0910263870198715e+27
172,288.5473697148872,7.681245381937347e+26
173,290.21527358607153,1.0265036449976045e+27
174,291.88317745725584,6.045154497514347e+26
175,293.55108132844015,1.166461831369567e+27
176,295.2189851996245,1.0720999919354754e+27
177,296.8868890708088,1.1329362632443421e+27
178,298.5547929419931,9.53816065214032e+26
179,300.22269681317744,9.719371767978064e+26
180,301.89060068436174,1.1127542883206686e+27
181,303.5585045555461,7.795679715737631e+26
182,305.2264084267304,8.325384006829945e+26
183,306.8943122979147,9.316381110852358e+26
184,308.56221616909903,7.746699361452621e+26
185,310.23012004028334,1.045252607548365e+27
186,311.8980239114677,1.1219326956517792e+27
187,313.565927782652,1.3421051956825736e+27
188,315.2338316538363,9.866968399724025e+26
189,316.9017355250206,1.0032640358214958e+27
190,318.56963939620493,1.132108071546497e+27
191,320.2375432673893,1.0786430959198833e+27
192,321.9054471385736,9.469675075180978e+26
193,323.5733510097579,1.1328154786588442e+27
194,325.2412548809422,1.4057375274145965e+27
195,326.90915875212653,1.781913613535263e+27
196,328.57706262331084,1.6463379706084468e+27
197,330.2449664944952,1.185091929014049e+27
198,331.9128703656795,1.283689865398335e+27
199,333.5807742368638,1.4387742469863054e+27
200,335.2486781080481,1.0505650519217975e+27
201,336.91658197923243,1.856079787936356e+27
202,338.5844858504168,1.246500460200801e+27
203,340.2523897216011,8.545886998642544e+26
204,341.9202935927854,2.09536760967836e+27
205,343.5881974639697,1.6239985289852078e+27
206,345.256101335154,1.7092126139376084e+27
207,346.9240052063384,1.2987703008436308e+27
208,348.5919090775227,9.678748295376257e+26
209,350.259812948707,1.7034213116562752e+27
210,351.9277168198913,1.4310099404902553e+27
211,353.5956206910756,1.2957568022435185e+27
212,355.26352456226,1.290272561460141e+27
213,356.9314284334443,1.5252495442376663e+27
214,358.5993323046286,2.1916517242915041e+27
215,360.2672361758129,1.2155101849097044e+27
216,361.9351400469972,2.211909660624927e+27
217,363.6030439181816,2.3511388113810238e+27
218,365.2709477893659,1.4978625369642035e+27
219,366.9388516605502,1.9207557720256488e+27
220,368.6067555317345,1.5165921237132234e+27
221,370.2746594029188,2.0012651104727934e+27
222,371.9425632741032,1.5635590578227385e+27
223,373.6104671452875,1.824245736270121e+27
224,375.2783710164718,2.0354785943782034e+27
225,376.9462748876561,2.1102015479369249e+27
226,378.6141787588404,1.9875079341119842e+27
227,380.2820826300248,2.2393148848369096e+27
228,381.9499865012091,1.7500691081395486e+27
229,383.6178903723934,1.3938481223616592e+27
230,385.2857942435777,2.624326817160367e+27
231,386.953698114762,1.635080452482846e+27
232,388.62160198594637,1.7831830929282063e+27
233,390.2895058571307,2.3821120036397597e+27
234,391.957409728315,1.6860390350872584e+27
235,393.6253135994993,2.163920912604039e+27
236,395.2932174706836,2.4365784889790558e+27
237,396.9611213418679,2.1924642607119906e+27
238,398.6290252130523,2.293724019557588e+27
239,400.2969290842366,1.5968781468211488e+27
240,401.9648329554209,2.5738956346151327e+27
241,403.6327368266052,2.527909336743948e+27
242,405.3006406977895,3.332725957740731e+27
243,406.96854456897387,2.823223319556563e+27
244,408.6364484401582,2.884946326643028e+27
245,410.3043523113425,2.652755931101982e+27
246,411.9722561825268,2.921219420204699e+27
247,413.6401600537111,2.8702425121280344e+27
248,415.30806392489546,3.1178649483681133e+27
249,416.9759677960798,2.8766540133572904e+27
250,418.6438716672641,2.8127388467836546e+27
251,420.3117755384484,2.3144280267457603e+27
252,421.9796794096327,4.088919738588174e+27
253,423.6475832808171,3.3332442661380216e+27
254,425.31548715200137,2.994928640828906e+27
255,426.9833910231857,3.065625682650276e+27
256,428.65129489437,2.484921223912667e+27
257,430.3191987655543,4.25753407701991e+27
258,431.9871026367387,3.4825337520563853e+27
259,433.655006507923,4.2567411742888583e+27
260,435.3229103791073,3.961786932353303e+27
261,436.9908142502916,2.7691174967827623e+27
262,438.6587181214759,3.969061798361623e+27
263,440.3266219926603,4.323234546660984e+27
264,441.9945258638446,3.8141560282384456e+27
265,443.6624297350289,3.5527346165901065e+27
266,445.33033360621323,4.295264446841832e+27
267,446.9982374773975,2.1198508265362037e+27
268,448.6661413485819,3.736311715774492e+27
269,450.3340452197662,4.587099423609547e+27
270,452.0019490909505,3.0506731990826575e+27
271,453.6698529621348,3.062447581498476e+27
272,455.33775683331913,4.7966626334221144e+27
273,457.0056607045035,3.0533231524617484e+27
274,458.6735645756878,5.280440599492486e+27
275,460.3414684468721,3.90693601709509e+27
276,462.0093723180564,2.8910482487310585e+27
277,463.67727618924073,4.018839341365649e+27
278,465.34518006042504,3.178259175681053e+27
279,467.0130839316094,3.220134062113562e+27
280,468.6809878027937,3.824352287857691e+27
281,470.348891673978,2.808746366748545e+27
282,472.0167955451623,3.7675468116359643e+27
283,473.68469941634663,4.613113202048641e+27
284,475.352603287531,3.8455580182387177e+27
285,477.0205071587153,3.790007665640382e+27
286,478.6884110298996,7.916502245755193e+27
287,480.3563149010839,6.434157692662734e+27
288,482.0242187722682,3.7196084208294646e+27
289,483.6921226434526,3.4796249134819557e+27
290,485.3600265146369,5.480588950312645e+27
291,487.0279303858212,3.3754631599147615e+27
292,488.6958342570055,4.077085171389811e+27
293,490.3637381281898,5.569360048087018e+27
294,492.0316419993742,4.7963990299635476e+27
295,493.6995458705585,3.014040805799969e+27
296,495.3674497417428,6.798078336157761e+27
297,497.0353536129271,3.932622328205592e+27
298,498.7032574841114,6.842309672449663e+27
299,500.3711613552958,4.98703868430579e+27
300,502.0390652264801,4.451333447463232e+27
301,503.7069690976644,5.251583386293925e+27
302,505.3748729688487,5.92015780582528e+27
303,507.042776840033,7.425822128485234e+27
304,508.7106807112174,2.629386871759405e+27
305,510.3785845824017,6.185380401247757e+27
306,512.046488453586,6.527686877365182e+27
307,513.7143923247703,6.629792658797104e+27
308,515.3822961959546,4.492267871828488e+27
309,517.0502000671389,5.376288580101673e+27
310,518.7181039383232,5.921569014955373e+27
311,520.3860078095075,6.328132616491208e+27
312,522.0539116806918,7.950627791284115e+27
313,523.7218155518761,9.204941198624965e+27
314,525.3897194230606,6.928788812069296e+27
315,527.0576232942449,3.913845783540404e+27
316,528.7255271654292,5.512673952799576e+27
317,530.3934310366135,7.55503079071521e+27
318,532.0613349077978,6.85113529942508e+27
319,533.7292387789821,9.626643948556764e+27
320,535.3971426501664,5.541640507954487e+27
321,537.0650465213507,5.943130350483118e+27
322,538.732950392535,5.140344462377273e+27
323,540.4008542637193,7.746645262880324e+27
324,542.0687581349036,9.81418111410386e+27
325,543.7366620060881,1.0304598270274247e+28
326,545.4045658772724,7.804485969708501e+27
327,547.0724697484567,4.5328508756295833e+27
328,548.740373619641,7.250370865441366e+27
329,550.4082774908253,1.1040858832849297e+28
330,552.0761813620096,8.19287250166822e+27
331,553.7440852331939,7.989028437258804e+27
332,555.4119891043782,1.0293952170331609e+28
333,557.0798929755625,5.297509458840862e+27
334,558.7477968467468,8.067478994411747e+27
335,560.4157007179313,1.079309732152177e+28
336,562.0836045891156,7.95388508205614e+27
337,563.7515084602999,8.727304234774771e+27
338,565.4194123314842,6.305378748606791e+27
339,567.0873162026685,6.648716998892366e+27
340,568.7552200738529,8.962863381371612e+27
341,570.4231239450372,9.588341068227269e+27
342,572.0910278162214,8.207078042493834e+27
343,573.7589316874057,7.850283675343414e+27
344,575.42683555859,9.734705768967751e+27
345,577.0947394297744,8.213992877441483e+27
346,578.7626433009588,8.659888279154695e+27
347,580.4305471721431,1.0827355914326686e+28
348,582.0984510433274,9.581268140193043e+27
349,583.7663549145117,1.106124234952409e+28
350,585.4342587856961,8.637875710355428e+27
351,587.1021626568803,8.659061233251125e+27
352,588.7700665280647,9.954557253995517e+27
353,590.437970399249,9.682727244976677e+27
354,592.1058742704332,1.1096288094053366e+28
355,593.7737781416176,1.2960019712269405e+28
356,595.4416820128018,1.542572511821465e+28
357,597.1095858839863,1.055595713194808e+28
358,598.7774897551707,1.1352435997553259e+28
359,600.4453936263549,1.1646046409831575e+28
360,602.1132974975393,1.4052160934463505e+28
361,603.7812013687235,1.8042633646644948e+28
362,605.4491052399079,1.212066492982728e+28
363,607.1170091110922,1.0677912244962078e+28
364,608.7849129822765,1.5050970476123436e+28
365,610.4528168534608,1.1741245919062033e+28
366,612.1207207246451,1.2532074179744357e+28
367,613.7886245958294,1.1168934935084864e+28
368,615.4565284670139,1.6948988382794978e+28
369,617.1244323381981,1.3586363046630965e+28
370,618.7923362093825,7.534954712908721e+27
371,620.4602400805667,2.023381640827235e+28
372,622.1281439517511,1.4635231293393907e+28
373,623.7960478229354,1.571591527882228e+28
374,625.4639516941197,8.156045897936827e+27
375,627.131855565304,1.9265569461762783e+28
376,628.7997594364883,1.6093557955796376e+28
377,630.4676633076726,1.6681850934810623e+28
378,632.1355671788571,1.6878825632223796e+28
379,633.8034710500413,2.1021330424285333e+28
380,635.4713749212257,1.9282024729951339e+28
381,637.1392787924099,1.392687675636216e+28
382,638.8071826635943,1.4126416806341553e+28
383,640.4750865347786,1.1765463321486858e+28
384,642.1429904059629,1.3666762165140797e+28
385,643.8108942771472,1.991811502273855e+28
386,645.4787981483315,1.4376023857681648e+28
387,647.1467020195158,1.932299738222183e+28
388,648.8146058907001,1.5465852446298365e+28
